Country,System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ireland,Terrestrial,,,,,6752.0,408.815,,,,7006.0,337.0881,,53.0,8719.0,57.0,336.837,92.0,12203.0,119.0,88.0,95.0,,,
Israel,Freshwater,410.0,191.0,256.0,140.0,19.0,75.0,1.0,1627.0,72.0,62.0,102.0,274.0,,,,,,,,887.0,2726.0,1697.0,1436.0,1237.0
Israel,Terrestrial,,191.0,256.0,140.0,19.0,75.0,1.0,1627.0,72.0,62.0,102.0,274.0,,,,,,,,887.0,2726.0,1697.0,1436.0,1237.0
Italy,Freshwater,12.0,5189.0,5155.0,5547.0,4751.0,5091.0,4691.0,4520.0,4720.0,4407.0,193786.0,211.0,170.0,254.0,166.0,138.0,151.0,191.0,197.0,37.0,,,,
Italy,Marine,,5189.0,5155.0,5547.0,4751.0,5091.0,4691.0,4520.0,4720.0,4407.0,193786.0,211.0,170.0,254.0,166.0,138.0,151.0,191.0,197.0,37.0,,,,
Italy,Terrestrial,90475.0,5189.0,5155.0,5547.0,4751.0,5091.0,4691.0,4520.0,4720.0,4407.0,193786.0,211.0,170.0,254.0,166.0,138.0,151.0,191.0,197.0,37.0,,,,
Japan,Freshwater,15046.7132,24584.2174,26574.5004,35024.139899999995,31277.4387,36613.7968,35612.4058,40625.207,37708.7863,43649.490900000004,16421.0,11581.0,13764.0,11661.0,10219.0,14179.0,9323.0,,,,,,,
Japan,Marine,,24584.2174,26574.5004,35024.139899999995,31277.4387,36613.7968,35612.4058,40625.207,37708.7863,43649.490900000004,16421.0,11581.0,13764.0,11661.0,10219.0,14179.0,9323.0,,,,,,,
Japan,Terrestrial,4603.0,24584.2174,26574.5004,35024.139899999995,31277.4387,36613.7968,35612.4058,40625.207,37708.7863,43649.490900000004,16421.0,11581.0,13764.0,11661.0,10219.0,14179.0,9323.0,,,,,,,
Jordan,Marine,,,,,,,,,,,,,2.0,,8.0,60.0,11.0,6.0,3.0,1.0,12.0,13.0,34.0,
Kazakhstan,Terrestrial,861000.0,993000.0,1079000.0,1124000.0,952000.0,432000.0,658000.0,259000.0,512000.0,403000.0,174500.0,,,,,,,,,,,,,
Kenya,Freshwater,,46294.0,1800.0,6699.0,3135.0,700.0,367276.0,344440.0,878065.0,70118.0,2286.0,491.0,117810.0,499.0,549.0,10996.0,2242.0,544.0,548.0,533.0,574.0,417.0,,995.0
Kenya,Terrestrial,117728.0,46294.0,1800.0,6699.0,3135.0,700.0,367276.0,344440.0,878065.0,70118.0,2286.0,491.0,117810.0,499.0,549.0,10996.0,2242.0,544.0,548.0,533.0,574.0,417.0,,995.0
"Korea, Republic Of",Freshwater,6.0,,,,,,15.0,16.0,78399.0,144.0,35607.0,49556.0,73663.0,93275.0,86240.0,115343.0,337473.0,243136.0,271284.0,140753.0,108117.0,108407.0,98896.0,30875.0
"Korea, Republic Of",Marine,,,,,,,15.0,16.0,78399.0,144.0,35607.0,49556.0,73663.0,93275.0,86240.0,115343.0,337473.0,243136.0,271284.0,140753.0,108117.0,108407.0,98896.0,30875.0
"Korea, Republic Of",Terrestrial,,,,,,,15.0,16.0,78399.0,144.0,35607.0,49556.0,73663.0,93275.0,86240.0,115343.0,337473.0,243136.0,271284.0,140753.0,108117.0,108407.0,98896.0,30875.0
Latvia,Freshwater,50000.0,,,7223.0,,,,5445.0,,,9076.0,648.0,,,,,,,,,,,,
Latvia,Marine,,,,7223.0,,,,5445.0,,,9076.0,648.0,,,,,,,,,,,,
Latvia,Terrestrial,13260.0,,,7223.0,,,,5445.0,,,9076.0,648.0,,,,,,,,,,,,
Lesotho,Terrestrial,880.0,,,,,,,,,,815.0,,,,,,,,,,,,,
Liberia,Terrestrial,,3500.0,,,,,,,,,,,,3000.0,,,,,,,,,,
Lithuania,Freshwater,,596.0,559.0,670.0,1467.0,1238.0,1983.0,27050.0,1651.0,1482.0,6319.0,853.0,400.0,212.0,,,,,,,,,,
Lithuania,Marine,670.0,596.0,559.0,670.0,1467.0,1238.0,1983.0,27050.0,1651.0,1482.0,6319.0,853.0,400.0,212.0,,,,,,,,,,
Lithuania,Terrestrial,6900.0,596.0,559.0,670.0,1467.0,1238.0,1983.0,27050.0,1651.0,1482.0,6319.0,853.0,400.0,212.0,,,,,,,,,,
Madagascar,Freshwater,,,236.0,243.0,258.0,915.0,427.0,364.0,262.0,266.0,271.0,,,,,,5189.0,605.0,5656.0,,,,,
Madagascar,Terrestrial,,,236.0,243.0,258.0,915.0,427.0,364.0,262.0,266.0,271.0,,,,,,5189.0,605.0,5656.0,,,,,
Malawi,Freshwater,,619.0,949.0,849.0,,2.0,,3.0,,,,,,950.0,,,,,,,,,,
Malawi,Terrestrial,,619.0,949.0,849.0,,2.0,,3.0,,,,,,950.0,,,,,,,,,,
Malaysia,Freshwater,585.0,,,,,405.0,,625.0,500.0,,289.0,764.0,631.0,,,,,,,,,,,
Malaysia,Marine,,,,,,405.0,,625.0,500.0,,289.0,764.0,631.0,,,,,,,,,,,
Malaysia,Terrestrial,,,,,,405.0,,625.0,500.0,,289.0,764.0,631.0,,,,,,,,,,,
Mali,Freshwater,,,,2650.0,,,5347.0,11663.0,,148000.0,135000.0,188000.0,,3400.0,,,,,,,,,,
